EndYear;Rk;G;Date;Years;Days;Age;Tm;Home;Opp;Win;Diff;GS;MP;FG;FGA;FG_PCT;3P;3PA;3P_PCT;FT;FTA;FT_PCT;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc
1985;1;1;10/26/1984;21;252;216899384;CHI;1;WSB;1;16;1;40;5;16;313;0;0;0;6;7;857;1;5;6;7;2;4;5;2;16;125
1985;2;2;10/27/1984;21;253;2169267625;CHI;0;MIL;0;-2;1;34;8;13;615;0;0;0;5;5;1;3;2;5;5;2;1;3;4;21;194
1985;3;3;10/29/1984;21;255;2169815195;CHI;1;MIL;1;6;1;34;13;24;542;0;0;0;11;13;846;2;2;4;5;6;2;3;4;37;329
1985;4;4;10/30/1984;21;256;217008898;CHI;0;KCK;1;5;1;36;8;21;381;0;0;0;9;9;1;2;2;4;5;3;1;6;5;25;147
1985;5;5;11/1/1984;21;258;217063655;CHI;0;DEN;0;-16;1;33;7;15;467;0;0;0;3;4;75;3;2;5;5;1;1;2;4;17;132
1985;6;6;11/7/1984;21;264;2172279261;CHI;0;DET;1;4;1;27;9;19;474;0;0;0;7;9;778;1;3;4;3;3;1;5;5;25;149
1985;7;7;11/8/1984;21;265;2172553046;CHI;0;NYK;1;15;1;33;15;22;682;0;0;0;3;4;75;4;4;8;5;3;2;5;2;33;293
1985;8;8;11/10/1984;21;267;2173100616;CHI;0;IND;1;2;1;42;9;22;409;0;0;0;9;12;75;2;7;9;4;2;5;3;4;27;212
1985;9;9;11/13/1984;21;270;2173921971;CHI;1;SAS;1;3;1;43;18;27;667;1;1;1;8;11;727;2;8;10;4;3;2;4;4;45;375
1985;10;10;11/15/1984;21;272;2174469541;CHI;1;BOS;0;-20;1;33;12;24;5;0;1;0;3;3;1;0;2;2;2;2;1;1;4;27;171
1985;11;11;11/17/1984;21;274;2175017112;CHI;1;PHI;0;-9;1;44;4;17;235;0;0;0;8;8;1;0;5;5;7;5;2;4;5;16;125
1985;12;12;11/19/1984;21;276;2175564682;CHI;1;IND;0;-17;1;39;11;26;423;0;3;0;12;16;75;2;3;5;2;2;1;3;3;34;208
1985;13;13;11/21/1984;21;278;2176112252;CHI;0;MIL;0;-10;1;42;11;22;5;0;0;0;13;14;929;4;9;13;2;2;2;6;3;35;267
1985;14;14;11/23/1984;21;280;2176659822;CHI;0;SEA;1;19;1;30;9;13;692;0;0;0;5;6;833;0;4;4;3;4;1;4;4;23;195
1985;15;15;11/24/1984;21;281;2176933607;CHI;0;POR;0;-10;1;41;10;24;417;0;1;0;10;10;1;3;3;6;8;3;1;4;4;30;239
1985;16;16;11/27/1984;21;284;2177754962;CHI;0;GSW;0;-6;1;24;6;10;6;0;0;0;1;1;1;0;2;2;3;3;2;4;1;13;111
1985;17;17;11/29/1984;21;286;2178302533;CHI;0;PHO;0;-5;1;30;9;17;529;1;1;1;3;4;75;1;2;3;2;2;0;2;5;22;14
1985;18;18;11/30/1984;21;287;2178576318;CHI;0;LAC;1;4;1;37;9;15;6;0;0;0;2;4;5;2;3;5;5;3;0;4;4;20;155
1985;19;19;12/2/1984;21;289;2179123888;CHI;0;LAL;1;1;1;42;7;13;538;0;0;0;6;8;75;2;0;2;3;1;1;4;3;20;129
1985;20;20;12/4/1984;21;291;2179671458;CHI;1;NJN;1;15;1;35;7;13;538;0;0;0;6;6;1;1;2;3;6;1;0;3;3;20;16
1985;21;21;12/7/1984;21;294;2180492813;CHI;1;NYK;1;2;1;43;8;16;5;0;1;0;5;7;714;1;1;2;3;2;0;6;5;21;93
1985;22;22;12/8/1984;21;295;2180766598;CHI;1;DAL;1;2;1;35;10;23;435;0;0;0;0;0;;4;3;7;2;0;2;2;3;20;112
1985;23;23;12/11/1984;21;298;2181587953;CHI;1;DET;0;-7;1;37;13;28;464;0;1;0;1;3;333;1;7;8;6;2;0;3;4;27;162
