PRODUCTO;PRECIO
"Televisor LED 50""";629,7943344
Lavadora Automática;904,7536859
Refrigerador Doble Puerta;713,2208367
Horno Microondas;54,71011678
Cafetera Eléctrica;679,8396397
Plancha de Vapor;566,5433776
Aspiradora Robot;982,8513035
Aire Acondicionado Portátil;52,53059645
Licuadora de Alta Potencia;732,5946021
Batidora de Mano;955,7424277
Secadora de Ropa;872,5465646
Ventilador de Torre;161,4919976
Purificador de Agua;242,1283341
Máquina de Coser;860,882399
Tostadora de Pan;512,9728691
Máquina de Hacer Pan;648,0086298
Freidora de Aire;564,6984932
Humidificador Ultrasónico;930,3744946
Radiador de Aceite;327,9456382
Deshumidificador;348,8831431
"Tablet 10""";734,1367919
Smartphone;205,3843816
Laptop;955,896949
Smartwatch;990,6099368
Cámara Digital;62,65649811
Impresora Multifuncional;134,4623841
"Monitor de 24""";14,38367434
Teclado Mecánico;230,5376892
Mouse Inalámbrico;229,6979933
Disco Duro Externo 1TB;526,0348047
Enrutador Wi-Fi;115,7450912
Consola de Videojuegos;759,8915247
Audífonos Bluetooth;398,2631735
Parlante Inteligente;934,6510266
Proyector Portátil;465,3859401
Reloj Despertador Digital;186,7390133
Báscula Inteligente;451,5678605
Termómetro Infrarrojo;22,37201075
Pulsera de Actividad;661,3114122
Kit de Seguridad para el Hogar;30,57572011
